"","ID","year","narrowness"
"L103_R_20100916KCB_JF1-0551_Processed","L103",2010,3.6403988158478
"L103_R_20130709DKE_SJ1-111_Processed","L103",2013,3.11607844265446
"L103_R_20170612MLM_JF1-0748_Processed","L103",2017,3.63144699008641
"L104_R_20060925DKE_DG1_080_Processed","L104",2006,2.92871591346201
"L105_R_20080805KCB_DG1_121_Processed","L105",2008,2.93843941692931
"L105_R_20100525EAF_DG1_047_Processed","L105",2010,3.11833219080859
"L105_R_20120830DKE_SJ2-573_Processed","L105",2012,3.02807767788479
"L105_R_20150705DKE_SJ1-0914_Processed","L105",2015,3.26914777110149
"L105_R_20150723SAM_SJ1-0890_Processed","L105",2015,3.26380876538505
"L106_R_20120529DKE_JF1-0258_Processed","L106",2012,2.38742227480497
"L106_R_20151024DAG_SJ1-0961_Processed","L106",2015,2.66303321770094
"L108_R_20070703DKE_DG1-142_Processed","L108",2007,2.67738254766459
"L108_R_20100718EAF_SJ1-170_Processed","L108",2010,2.43943340553284
"L108_R_20101206DKE_SJ5-202_Processed","L108",2010,2.82404513455184
"L108_R_20150824DKE_SJ1-1251_Processed","L108",2015,2.75449368935674
"L109_R_20070822DKE_DG1-322_Processed","L109",2007,2.71567151430456
"L109_R_20090206KCB_DG1_0741_Processed","L109",2009,2.73630621721643
"L109_R_20100701AVG_SJ1-052_Processed","L109",2010,2.95162491936158
"L110_R_20110706DKE_SJ3-191_Processed","L110",2011,2.94844192021582
"L112_R_20090206KCB_DG1_1135_Processed","L112",2009,2.51054563779692
"L112_R_20090206KCB_DG1_1156_Processed","L112",2009,2.47988544796478
"L112_R_20090206KCB_DG1_1168_Processed","L112",2009,2.65028789840169
"L112_R_20090627BRG_DG7-2677_Processed","L112",2009,2.44155578150244
"L113_R_20100813KCB_JF2-0281_Processed","L113",2010,2.78317825152333
"L113_R_20110805KCB_SJ1-0197_Processed","L113",2011,2.76401224369557
"L113_R_20110805KCB_SJ1-0456_Processed","L113",2011,2.89384485705785
"L113_R_20110906MLM_JF7-088_Processed","L113",2011,3.21417254757678
